id,"name_fr","name_nl",province_id,"nis_code",capital_id
1,"Anvers","Antwerpen",1,"11000",2
2,"Malines","Mechelen",1,"12000",81
3,NULL,"Turnhout",1,"13000",148
4,NULL,"Hasselt",2,"71000",180
5,NULL,"Maaseik",2,"72000",249
6,"Tongres","Tongeren",2,"73000",359
7,"Alost","Aalst",3,"41000",373
8,"Termonde","Dendermonde",3,"42000",462
9,NULL,"Eeklo",3,"43000",487
10,"Gand","Gent",3,"44000",531
11,"Audenarde","Oudenaarde",3,"45000",623
12,"Saint-Nicolas","Sint-Niklaas",3,"46000",670
13,"Hal-Vilvorde","Halle-Vilvoorde",4,"23000",769
14,"Louvain","Leuven",4,"24000",862
15,"Bruges","Brugge",5,"31000",921
16,"Dixmude","Diksmuide",5,"32000",959
17,"Ypres","Ieper",5,"33000",1002
18,"Courtrai","Kortrijk",5,"34000",1050
19,"Ostende","Oostende",5,"35000",1095
20,"Roulers","Roeselare",5,"36000",1116
21,NULL,"Tielt",5,"37000",1135
22,"Furnes","Veurne",5,"38000",1166
23,"Nivelles","Nijvel",6,"25000",1239
24,"Ath","Aat",7,"51000",1292
25,"Charleroi",NULL,7,"52000",1365
26,"Mons","Bergen",7,"53000",1483
27,"Mouscron","Moeskroen",7,"54000",1524
28,"Soignies","Zinnik",7,"55000",1574
29,"Thuin",NULL,7,"56000",1667
30,"Tournai","Doornik",7,"57000",1755
31,"Huy","Hoei",8,"61000",1797
32,"Liège","Luik",8,"62000",1913
33,"Verviers","Verviers",8,"63000",2040
34,"Waremme","Borgworm",8,"64000",2123
35,"Arlon","Aarlen",9,"81000",2128
36,"Bastogne","Bastenaken",9,"82000",2149
37,"Marche-en-Famenne",NULL,9,"83000",2224
38,"Neufchâteau",NULL,9,"84000",2291
39,"Virton",NULL,9,"85000",2368
40,"Dinant",NULL,10,"91000",2413
41,"Namur","Namen",10,"92000",2628
42,"Philippeville",NULL,10,"93000",2709
43,"Bruxelles-Capitale","Brussel-Hoofdstad",NULL,"04000",2747
