id,"name_fr","name_nl",commune_id
1,NULL,"Aartselaar",1
2,"Anvers","Antwerpen",2
3,NULL,"Berchem",2
4,NULL,"Berendrecht",2
5,NULL,"Borgerhout",2
6,NULL,"Deurne",2
7,NULL,"Ekeren",2
8,NULL,"Hoboken",2
9,NULL,"Lillo",2
10,NULL,"Merksem",2
11,NULL,"Wilrijk",2
12,NULL,"Zandvliet",2
13,NULL,"Boechout",3
14,NULL,"Vremde",3
15,NULL,"Boom",4
16,NULL,"Borsbeek",5
17,NULL,"Brasschaat",6
18,NULL,"Brecht",7
19,NULL,"Sint-Job-in-'t-Goor",7
20,NULL,"Sint-Lenaarts",7
21,NULL,"Edegem",8
22,NULL,"Essen",9
23,NULL,"Hemiksem",10
24,NULL,"Hove",11
25,NULL,"Kalmthout",12
26,NULL,"Kapellen",13
27,NULL,"Kontich",14
28,NULL,"Waarloos",14
29,NULL,"Lint",15
30,NULL,"Malle",16
31,NULL,"Oostmalle",16
32,NULL,"Westmalle",16
33,NULL,"Mortsel",17
34,NULL,"Niel",18
35,NULL,"Broechem",19
36,NULL,"Emblem",19
37,NULL,"Oelegem",19
38,NULL,"Ranst",19
39,NULL,"Reet",20
40,NULL,"Rumst",20
41,NULL,"Terhagen",20
42,NULL,"Schelle",21
43,NULL,"'s Gravenwezel",22
44,NULL,"Schilde",22
45,NULL,"Schoten",23
46,NULL,"Hoevenen",24
47,NULL,"Stabroek",24
48,NULL,"Wijnegem",25
49,NULL,"Wommelgem",26
50,NULL,"Loenhout",27
51,NULL,"Wuustwezel",27
52,NULL,"Massenhoven",28
53,NULL,"Pulderbos",28
54,NULL,"Pulle",28
55,NULL,"Viersel",28
56,NULL,"Zandhoven",28
57,NULL,"Halle",29
58,NULL,"Zoersel",29
59,NULL,"Burcht",30
60,NULL,"Zwijndrecht",30
61,NULL,"Berlaar",31
62,NULL,"Gestel",31
63,NULL,"Bonheiden",32
64,NULL,"Rijmenam",32
65,NULL,"Bornem",33
66,NULL,"Hingene",33
67,NULL,"Mariekerke",33
68,NULL,"Weert",33
69,NULL,"Duffel",34
70,NULL,"Booischot",35
71,NULL,"Hallaar",35
72,NULL,"Heist-op-den-Berg",35
73,NULL,"Itegem",35
74,NULL,"Schriek",35
75,NULL,"Wiekevorst",35
76,NULL,"Koningshooikt",36
77,"Lierre","Lier",36
78,NULL,"Heffen",37
79,NULL,"Hombeek",37
80,NULL,"Leest",37
81,"Malines","Mechelen",37
82,NULL,"Muizen",37
83,NULL,"Walem",37
84,NULL,"Bevel",38
85,NULL,"Kessel",38
86,NULL,"Nijlen",38
87,NULL,"Beerzel",39
88,NULL,"Putte",39
89,NULL,"Breendonk",40
90,NULL,"Liezele",40
91,NULL,"Puurs",40
92,NULL,"Ruisbroek",40
93,NULL,"Lippelo",41
94,NULL,"Oppuurs",41
95,NULL,"Sint-Amands",41
96,NULL,"Onze-Lieve-Vrouw-Waver",42
97,NULL,"Sint-Katelijne-Waver",42
98,NULL,"Blaasveld",43
99,NULL,"Heindonk",43
100,NULL,"Tisselt",43
101,NULL,"Willebroek",43
102,NULL,"Arendonk",44
103,"Baerle-Duc","Baarle-Hertog",45
104,NULL,"Balen",46
105,NULL,"Olmen",46
106,NULL,"Beerse",47
107,NULL,"Vlimmeren",47
108,NULL,"Dessel",48
109,NULL,"Geel",49
110,NULL,"Bouwel",50
111,NULL,"Grobbendonk",50
112,NULL,"Herentals",51
113,NULL,"Morkhoven",51
114,NULL,"Noorderwijk",51
115,NULL,"Herenthout",52
116,NULL,"Herselt",53
117,NULL,"Ramsel",53
118,NULL,"Hoogstraten",54
119,NULL,"Meer",54
120,NULL,"Meerle",54
121,NULL,"Minderhout",54
122,NULL,"Wortel",54
123,NULL,"Houtvenne",55
124,NULL,"Hulshout",55
125,NULL,"Westmeerbeek",55
126,NULL,"Kasterlee",56
127,NULL,"Lichtaart",56
128,NULL,"Tielen",56
129,NULL,"Eindhout",57
130,NULL,"Laakdal",57
131,NULL,"Varendonk",57
132,NULL,"Veerle",57
133,NULL,"Vorst",57
134,NULL,"Gierle",58
135,NULL,"Lille",58
136,NULL,"Poederlee",58
137,NULL,"Wechelderzande",58
138,NULL,"Meerhout",59
139,NULL,"Merksplas",60
140,NULL,"Mol",61
141,NULL,"Olen",62
142,NULL,"Oud-Turnhout",63
143,NULL,"Poppel",64
144,NULL,"Ravels",64
145,NULL,"Weelde",64
146,NULL,"Retie",65
147,NULL,"Rijkevorsel",66
148,NULL,"Turnhout",67
149,NULL,"Vorselaar",68
150,NULL,"Vosselaar",69
151,NULL,"Oevel",70
152,NULL,"Tongerlo",70
153,NULL,"Westerlo",70
154,NULL,"Zoerle-Parwijs",70
155,NULL,"As",71
156,NULL,"Niel-bij-As",71
157,NULL,"Beringen",72
158,NULL,"Beverlo",72
159,NULL,"Koersel",72
160,NULL,"Paal",72
161,NULL,"Diepenbeek",73
162,NULL,"Genk",74
163,NULL,"Boekhout",75
164,NULL,"Borlo",75
165,NULL,"Buvingen",75
166,NULL,"Gingelom",75
167,NULL,"Jeuk",75
168,NULL,"Kortijs",75
169,NULL,"Mielen-boven-Aalst",75
170,NULL,"Montenaken",75
171,NULL,"Muizen",75
172,NULL,"Niel-bij-Sint-Truiden",75
173,NULL,"Vorsen",75
174,NULL,"Halen",76
175,NULL,"Loksbergen",76
176,NULL,"Zelem",76
177,NULL,"Ham",77
178,NULL,"Kwaadmechelen",77
179,NULL,"Oostham",77
180,NULL,"Hasselt",78
181,NULL,"Kermt",78
182,NULL,"Kuringen",78
183,NULL,"Sint-Lambrechts-Herk",78
184,NULL,"Spalbeek",78
185,NULL,"Stevoort",78
186,NULL,"Stokrooie",78
187,NULL,"Wimmertingen",78
188,NULL,"Berbroek",79
189,NULL,"Donk",79
190,"Herck-la-Ville","Herk-de-Stad",79
191,NULL,"Schulen",79
192,NULL,"Heusden",80
193,NULL,"Heusden-Zolder",80
194,NULL,"Zolder",80
195,NULL,"Heppen",81
196,"Bourg-Léopold","Leopoldsburg",81
197,NULL,"Linkhout",82
198,NULL,"Lummen",82
199,NULL,"Meldert",82
200,NULL,"Binderveld",83
201,NULL,"Kozen",83
202,NULL,"Nieuwerkerken",83
203,NULL,"Wijer",83
204,NULL,"Opglabbeek",84
205,NULL,"Aalst",85
206,NULL,"Brustem",85
207,NULL,"Duras",85
208,NULL,"Engelmanshoven",85
209,NULL,"Gelinden",85
210,NULL,"Gorsem",85
211,NULL,"Groot-Gelmen",85
212,NULL,"Halmaal",85
213,NULL,"Kerkom-bij-Sint-Truiden",85
214,NULL,"Ordingen",85
215,NULL,"Runkelen",85
216,"Saint-Trond","Sint-Truiden",85
217,NULL,"Velm",85
218,NULL,"Wilderen",85
219,NULL,"Zepperen",85
220,NULL,"Tessenderlo",86
221,NULL,"Zonhoven",87
222,NULL,"Zutendaal",88
223,NULL,"Bocholt",89
224,NULL,"Kaulille",89
225,NULL,"Reppel",89
226,NULL,"Beek",90
227,NULL,"Bree",90
228,NULL,"Gerdingen",90
229,NULL,"Opitter",90
230,NULL,"Tongerlo",90
231,NULL,"Dilsen-Stokkem",91
232,NULL,"Elen",91
233,NULL,"Lanklaar",91
234,NULL,"Rotem",91
235,NULL,"Achel",92
236,NULL,"Hamont",92
237,NULL,"Hamont-Achel",92
238,NULL,"Eksel",93
239,NULL,"Hechtel",93
240,NULL,"Hechtel-Eksel",93
241,NULL,"Helchteren",94
242,NULL,"Houthalen",94
243,NULL,"Houthalen-Helchteren",94
244,NULL,"Kessenich",95
245,NULL,"Kinrooi",95
246,NULL,"Molenbeersel",95
247,NULL,"Ophoven",95
248,NULL,"Lommel",96
249,NULL,"Maaseik",97
250,NULL,"Neeroeteren",97
251,NULL,"Opoeteren",97
252,NULL,"Ellikom",98
253,NULL,"Gruitrode",98
254,NULL,"Meeuwen",98
255,NULL,"Meeuwen-Gruitrode",98
256,NULL,"Neerglabbeek",98
257,NULL,"Wijshagen",98
258,NULL,"Neerpelt",99
259,NULL,"Sint-Huibrechts-Lille",99
260,NULL,"Overpelt",100
261,NULL,"Grote-Brogel",101
262,NULL,"Kleine-Brogel",101
263,NULL,"Peer",101
264,NULL,"Wijchmaal",101
265,NULL,"Alken",102
266,NULL,"Beverst",103
267,NULL,"Bilzen",103
268,NULL,"Eigenbilzen",103
269,NULL,"Grote-Spouwen",103
270,NULL,"Hees",103
271,NULL,"Hoelbeek",103
272,NULL,"Kleine-Spouwen",103
273,NULL,"Martenslinde",103
274,NULL,"Mopertingen",103
