id,"name_fr","name_nl",arrondissement_id,"nis_code",main_city_id,"lang","lang_facilities"
1,NULL,"Aartselaar",1,"11001",1,"nl",NULL
2,"Anvers","Antwerpen",1,"11002",2,"nl",NULL
3,NULL,"Boechout",1,"11004",13,"nl",NULL
4,NULL,"Boom",1,"11005",15,"nl",NULL
5,NULL,"Borsbeek",1,"11007",16,"nl",NULL
6,NULL,"Brasschaat",1,"11008",17,"nl",NULL
7,NULL,"Brecht",1,"11009",18,"nl",NULL
8,NULL,"Edegem",1,"11013",21,"nl",NULL
9,NULL,"Essen",1,"11016",22,"nl",NULL
10,NULL,"Hemiksem",1,"11018",23,"nl",NULL
11,NULL,"Hove",1,"11021",24,"nl",NULL
12,NULL,"Kalmthout",1,"11022",25,"nl",NULL
13,NULL,"Kapellen",1,"11023",26,"nl",NULL
14,NULL,"Kontich",1,"11024",27,"nl",NULL
15,NULL,"Lint",1,"11025",29,"nl",NULL
16,NULL,"Malle",1,"11057",30,"nl",NULL
17,NULL,"Mortsel",1,"11029",33,"nl",NULL
18,NULL,"Niel",1,"11030",34,"nl",NULL
19,NULL,"Ranst",1,"11035",38,"nl",NULL
20,NULL,"Rumst",1,"11037",40,"nl",NULL
21,NULL,"Schelle",1,"11038",42,"nl",NULL
22,NULL,"Schilde",1,"11039",44,"nl",NULL
23,NULL,"Schoten",1,"11040",45,"nl",NULL
24,NULL,"Stabroek",1,"11044",47,"nl",NULL
25,NULL,"Wijnegem",1,"11050",48,"nl",NULL
26,NULL,"Wommelgem",1,"11052",49,"nl",NULL
27,NULL,"Wuustwezel",1,"11053",51,"nl",NULL
28,NULL,"Zandhoven",1,"11054",56,"nl",NULL
29,NULL,"Zoersel",1,"11055",58,"nl",NULL
30,NULL,"Zwijndrecht",1,"11056",60,"nl",NULL
31,NULL,"Berlaar",2,"12002",61,"nl",NULL
32,NULL,"Bonheiden",2,"12005",63,"nl",NULL
33,NULL,"Bornem",2,"12007",65,"nl",NULL
34,NULL,"Duffel",2,"12009",69,"nl",NULL
35,NULL,"Heist-op-den-Berg",2,"12014",72,"nl",NULL
36,"Lierre","Lier",2,"12021",77,"nl",NULL
37,"Malines","Mechelen",2,"12025",81,"nl",NULL
38,NULL,"Nijlen",2,"12026",86,"nl",NULL
