id,"name_en","name_fr","name_nl","name_de","iso3166-2","nis_code",capital_id,counselor_count,"website"
1,"Antwerp","Anvers","Antwerpen","Antwerpen","BE-VAN","10000",2,84,"http://www.provant.be"
2,"Limburg","Limbourg","Limburg","Limburg","BE-VLI","70000",180,75,"http://www.limburg.be/"
3,"East Flanders","Flandre-Orientale","Oost-Vlanderen","Ostflandern","BE-VOV","40000",531,84,"http://www.oost-vlaanderen.be/"
4,"Flemish Brabant","Brabant flamand","Vlaams-Brabant","Flämisch-Brabant","BE-VBR","20001",862,78,"http://www.vlaamsbrabant.be/"
5,"West Flanders","Flandre-Occidentale","West-Vlaanderen","Westflandern","BE-VWV","30000",921,82,"http://www.west-vlaanderen.be/"
6,"Walloon Brabant","Brabant wallon","Waals-Brabant","Wallonisch-Brabant","BE-WBR","20002",1290,56,"http://www.brabantwallon.be/"
7,"Hainaut","Hainaut","Henegouwen","Hennegau","BE-WHT","50000",1483,84,"http://www.hainaut.be/"
8,"Liège","Liège","Luik","Lüttich","BE-WLG","60000",1913,84,"http://www.provincedeliege.be/"
9,"Luxembourg","Luxembourg","Luxemburg","Luxemburg","BE-WLX","80000",2128,56,"http://www.province.luxembourg.be/"
10,"Namur","Namur","Namen","Namur","BE-WNA","90000",2628,37,"http://www.province.namur.be/"
